Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo2.Poblacion asignada. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Rey Juan Carlos;
Serie;Unidad;Ambito;2013;2015;2016;2017;2018;2019;2020;2021;2022

Total  población asignada al Hospital Universitario Rey Juan Carlos;Número;Comunidad de Madrid;170.909,00;173.128,00;174.131,00;176.520,00;178.423,00;180.018,00;181.390,00;179.764,00;184.424,00;

Población del centro de salud Barcelona de Móstoles asignada al Hospital Universitario Rey Juan Carlos;Número;Comunidad de Madrid;23.978,00;23.873,00;23.675,00;23.707,00;23.765,00;23.827,00;23.834,00;23.370,00;23.546,00;

Población del centro de salud de Cadalso de los Vidrios asignada al Hospital Universitario Rey Juan Carlos;Número;Comunidad de Madrid;5.034,00;5.035,00;5.092,00;5.131,00;5.209,00;5.247,00;5.366,00;5.498,00;5.485,00;

Población del centro de salud La Princesa asignada al Hospital Universitario Rey Juan Carlos;Número;Comunidad de Madrid;18.590,00;18.565,00;18.624,00;18.910,00;18.996,00;19.144,00;19.026,00;18.750,00;18.572,00;

Población del centro de salud de Navalcarnero asignada al Hospital Universitario Rey Juan Carlos;Número;Comunidad de Madrid;44.468,00;46.270,00;47.153,00;48.419,00;49.622,00;50.597,00;51.434,00;50.915,00;53.366,00;

Población del centro de salud de Navas del Rey asignada al Hospital Universitario Rey Juan Carlos;Número;Comunidad de Madrid;6.023,00;6.096,00;6.157,00;6.238,00;6.381,00;6.538,00;6.696,00;6.881,00;7.318,00;

Población del centro de salud de Presentación Sabio de Móstoles asignada al Hospital Universitario Rey Juan Carlos;Número;Comunidad de Madrid;27.948,00;27.781,00;27.683,00;27.760,00;27.797,00;27.685,00;27.473,00;27.033,00;27.090,00;

Población del centro de salud de San Martín de Valdeiglesias asignada al Hospital Universitario Rey Juan Carlos;Número;Comunidad de Madrid;10.413,00;10.497,00;10.520,00;10.646,00;10.735,00;10.837,00;11.070,00;11.097,00;11.619,00;

Población del centro de salud de Villa del Prado asignada al Hospital Universitario Rey Juan Carlos;Número;Comunidad de Madrid;8.606,00;8.727,00;8.772,00;8.966,00;9.085,00;9.275,00;9.473,00;9.540,00;10.317,00;

Población del centro de salud de Villaviciosa de Odón asignada al Hospital Universitario Rey Juan Carlos;Número;Comunidad de Madrid;25.849,00;26.284,00;26.455,00;26.743,00;26.833,00;26.868,00;27.018,00;26.680,00;27.111,00;
Notas;
Población a 31 de diciembre del año anterior.;
;
La poiblación asignada al Hospital Universitario Rey Juan Carlos es la de los municipios de Móstoles, Navalcarnero, El Álamo, Villanueva de Perales, Viila del Prado, Navas del Rey, Colmenar del Arroyo, Pelayos de la Presa, Cenicientos, Villaviciodsa de Odón, Sevilla la Nueva, Villamanta, Villamantilla. Aldea del Fresno,  Chapinería, San Martín de Valdeiglesias,;
Cadalso de los Vidrios y Las Rozas de Puerto Real.;
