Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Poblacion asignada. null. Unidad: Número. Fuente: Memoria del Hospital Universitario Ramón y Cajal;
Serie;Unidad;Ambito;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Total población adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;555.655,00;559.181,00;566.445,00;573.654,00;583.397,00;593.075,00;597.902,00;604.022,00;596.677,00;606.454,00;

Población del centro de salud Alameda de Osuna del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;28.887,00;29.124,00;29.385,00;29.575,00;29.951,00;30.206,00;30.391,00;30.467,00;30.287,00;30.762,00;

Población del centro de salud Alpes del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;37.040,00;37.114,00;37.300,00;37.489,00;37.866,00;38.040,00;38.355,00;38.507,00;38.174,00;38.403,00;

Población del centro de salud Aquitania del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;22.106,00;22.171,00;22.334,00;22.609,00;22.919,00;23.316,00;23.280,00;23.368,00;22.975,00;23.505,00;

Población del centro de salud Avenida Aragón del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;19.224,00;19.052,00;19.167,00;19.179,00;19.401,00;19.644,00;19.821,00;19.951,00;19.597,00;20.074,00;

Población del centro de salud Barajas del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;18.648,00;18.706,00;19.048,00;19.424,00;19.862,00;20.557,00;21.019,00;21.472,00;21.281,00;21.594,00;

Población del centro de salud Benita de Ávila del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;20.684,00;20.598,00;20.599,00;20.506,00;20.587,00;20.613,00;20.610,00;20.660,00;20.449,00;20.388,00;

Población del centro de salud Canal de Panamá del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;30.832,00;30.392,00;30.267,00;30.082,00;30.194,00;30.040,00;29.743,00;29.484,00;28.811,00;28.676,00;

Población del centro de salud Canillejas del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;37.811,00;37.906,00;38.125,00;38.184,00;38.301,00;38.460,00;38.555,00;38.580,00;37.761,00;37.463,00;

Población del centro de salud Doctor Cirajas del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;36.470,00;36.354,00;36.594,00;36.808,00;37.013,00;37.397,00;37.493,00;37.655,00;36.651,00;36.216,00;

Población del centro de salud Estrecho de Corea del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;29.157,00;29.145,00;29.472,00;29.814,00;30.318,00;30.703,00;30.841,00;31.085,00;30.373,00;30.348,00;

Población del centro de salud Gandhi del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;34.421,00;34.398,00;34.485,00;34.659,00;35.084,00;35.596,00;35.562,00;35.929,00;35.454,00;35.385,00;

Población del centro de salud García Noblejas del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;23.098,00;22.888,00;22.825,00;22.866,00;23.080,00;23.231,00;22.962,00;23.173,00;22.791,00;22.758,00;

Población del centro de salud Jazmín del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;25.949,00;26.010,00;26.155,00;26.316,00;26.680,00;26.942,00;26.997,00;26.981,00;26.603,00;26.827,00;

Población del centro de salud Mar Báltico del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;54.674,00;54.377,00;54.796,00;55.207,00;55.960,00;56.747,00;57.376,00;58.234,00;57.776,00;59.147,00;

Población del centro de salud Monóvar del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;17.544,00;17.631,00;17.724,00;17.940,00;18.018,00;18.388,00;18.370,00;18.554,00;18.300,00;18.344,00;

Población del centro de salud Rejas del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;13.232,00;13.625,00;14.100,00;14.564,00;15.275,00;15.889,00;16.283,00;16.782,00;16.792,00;18.450,00;

Población del centro de salud Sanchinarro del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;38.288,00;41.754,00;45.251,00;48.720,00;51.918,00;55.060,00;57.320,00;59.587,00;60.015,00;63.588,00;

Población del centro de salud Silvano del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;35.065,00;35.168,00;35.565,00;36.031,00;36.481,00;37.108,00;37.392,00;37.716,00;37.245,00;38.297,00;

Población del centro de salud Vicente Muzas del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;20.658,00;20.686,00;20.836,00;21.017,00;21.302,00;21.560,00;21.681,00;21.744,00;21.349,00;21.621,00;

Población del centro de salud Virgen del Cortijo del municipio de Madrid adscrita al Hospital Universitario Ramón y Cajal;Número;Comunidad de Madrid;11.867,00;12.082,00;12.417,00;12.664,00;13.187,00;13.578,00;13.851,00;14.093,00;13.993,00;14.608,00;
Notas;
Población a 31 de diciembre del año anterior.;
