Salud y servicios sociales.Recursos y asistencia sanitaria.Centros y equipamiento sanitario.Hospitales.Grupo3.Poblacion asignada. null. Unidad: Número. Fuente: Memoria del Hospital General Universitario Gregorio Marañón;
Serie;Unidad;Ambito;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Total población adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;317.362,00;314.881,00;315.168,00;316.090,00;316.858,00;318.818,00;320.971,00;320.956,00;321.591,00;315.710,00;318.607,00;

Población del centro de salud Adelfas del municipio de Madrid adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;24.118,00;24.427,00;24.877,00;25.347,00;25.782,00;26.324,00;26.825,00;27.053,00;27.254,00;26.625,00;27.007,00;

Población del centro de salud Arroyo de la Media Legua del municipio de Madrid adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;39.293,00;38.725,00;38.473,00;38.309,00;37.930,00;37.720,00;37.561,00;37.126,00;36.849,00;35.857,00;35.128,00;

Población del centro de salud Artilleros del municipio de Madrid adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;20.976,00;20.566,00;20.388,00;20.380,00;20.361,00;20.421,00;20.498,00;20.497,00;20.433,00;19.874,00;19.881,00;

Población del centro de salud Ibiza del municipio de Madrid adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;33.005,00;32.836,00;33.009,00;33.161,00;33.237,00;33.573,00;33.677,00;33.770,00;33.693,00;33.169,00;33.679,00;

Población del centro de salud Numancia del municipio de Madrid adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;25.415,00;24.876,00;24.792,00;24.854,00;24.920,00;25.085,00;25.371,00;25.396,00;25.493,00;25.022,00;24.871,00;

Población del centro de salud Pacífico del municipio de Madrid adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;34.011,00;33.676,00;33.747,00;33.796,00;33.681,00;33.888,00;34.092,00;34.094,00;33.922,00;33.187,00;33.566,00;

Población del centro de salud Pavones del municipio de Madrid adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;40.235,00;39.840,00;39.987,00;40.009,00;39.946,00;39.905,00;39.874,00;39.778,00;39.680,00;39.000,00;38.477,00;

Población del centro de salud Peña Prieta del municipio de Madrid adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;17.171,00;17.211,00;17.367,00;17.609,00;18.024,00;18.547,00;19.129,00;19.161,00;19.599,00;19.126,00;19.294,00;

Población del centro de salud Torito del municipio de Madrid adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;35.642,00;35.133,00;34.782,00;34.464,00;34.375,00;34.348,00;34.483,00;34.188,00;34.219,00;33.620,00;33.472,00;

Población del centro de salud Valdebernardo del municipio de Madrid adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;18.648,00;18.581,00;18.566,00;18.657,00;18.740,00;18.836,00;18.822,00;18.937,00;19.018,00;18.797,00;19.318,00;

Población del centro de salud Villablanca del municipio de Madrid adscrita al Hospital General Universitario Gregorio Marañón;Número;Comunidad de Madrid;28.848,00;29.010,00;29.180,00;29.504,00;29.862,00;30.171,00;30.639,00;30.956,00;31.431,00;31.433,00;33.914,00;
Notas;
Población a 31 de diciembre del año anterior.;
;
La población asignada al Hospital General Universitario Gregorio Marañón es la de los distritos de Moratalaz, Vicálvaro y Retiro) del municipio de Madrid;
